pedido_id,fecha_pedido,mes_num,dia_semana_num,hora_decimal,es_fin_semana,tipo_pedido,cantidad_items,zona_entrega,carga_trabajo,tiempo_prometido_min,tiempo_total_min,entrega_tarde
51442b23-3e45-4072-adc9-c0fef8cee375,2023-10-27,10,5,18.75,0,Domicilio,7,AVIACIÓN CIVIL,0,50,64.0,1
2cf16ffe-5450-4c81-aa13-9e75a8a0a7e2,2023-10-28,10,6,19.33,1,Mostrador,2,LOCAL,0,30,24.0,0
a9986407-e774-44c7-8890-3ae6ce2d546b,2023-10-28,10,6,20.42,1,Domicilio,2,AVIACION,0,50,51.0,1
a6ba0aff-0925-4f51-b06a-de37c88eec51,2023-10-28,10,6,21.75,1,Domicilio,4,SANTA IRENE,0,50,52.0,1
591b33fd-e868-41f5-a76b-3b0a4cb69d6d,2023-10-29,10,7,15.83,1,Mostrador,4,LOCAL,0,30,36.0,1
7aadfde5-14d4-40b1-8e8f-58b695b59fa6,2023-10-29,10,7,19.83,1,Mostrador,4,LOCAL,0,30,44.0,1
9ab4ef5e-e1f7-4ae4-b03f-fa8fb5a33e11,2023-10-29,10,7,20.92,1,Domicilio,6,COLALAMBRE,0,50,59.0,1
1ba9b054-fa15-4b43-94ca-1d14ad5b2f62,2023-10-29,10,7,22.0,1,Domicilio,3,COLALAMBRE,0,50,45.0,0
f5cb5f67-f0ff-4d2e-85e8-a04b558c8ca7,2023-10-29,10,7,23.92,1,Domicilio,3,SANTA IRENE,0,50,49.0,0
5f1dd6d8-2caa-4a35-8e1c-05a331cebffa,2023-10-30,10,1,17.83,0,Recoger en tienda,2,LOCAL,0,30,19.0,0
27d924c0-a066-46d1-99e5-522c827e5574,2023-10-31,10,2,18.67,0,Recoger en tienda,2,LOCAL,0,30,34.0,1
84768ab4-f2fe-4297-982a-edbadcbd2d08,2023-11-02,11,4,22.17,0,Domicilio,8,TODOS POR HIDALGO,0,50,63.0,1
089e85dd-3568-4ba9-81b6-c7b4aa8825a8,2023-11-03,11,5,17.08,0,Recoger en tienda,2,LOCAL,0,30,21.0,0
c4dc80a9-75fb-4d7a-a472-e86713e81f6e,2023-11-03,11,5,18.17,0,Recoger,3,LOCAL,0,30,33.0,1
b7449a7d-1e3b-4638-8f26-db5b3296366c,2023-11-03,11,5,20.75,0,Domicilio,3,LOS CANTORES,0,50,46.0,0
28f126b4-adba-4cc4-8674-d2627b1b12d3,2023-11-03,11,5,21.67,0,Recoger en tienda,6,LOCAL,0,30,47.0,1
fbddd811-4302-4555-9d8d-cac6d5134f29,2023-11-03,11,5,23.67,0,Mostrador,8,LOCAL,0,30,38.0,1
6aa554f5-e96f-4099-a4bd-0979b53463f5,2023-11-04,11,6,13.08,1,Mostrador,1,LOCAL,0,30,19.0,0
61799150-f2d8-4fdd-b993-18959768d843,2023-11-04,11,6,15.08,1,Mostrador,3,LOCAL,0,30,28.0,0
27f4fca0-b4d8-4063-a8c9-2604d386b007,2023-11-04,11,6,19.25,1,Mostrador,1,LOCAL,0,30,30.0,0
5fb31fbb-b121-4f22-b0ca-0e93259833bd,2023-11-04,11,6,19.42,1,Domicilio,6,SANTA IRENE,1,50,61.0,1
627216b5-f67f-4c6a-b12d-40864b8f3fdb,2023-11-05,11,7,18.25,1,Recoger,1,LOCAL,0,30,31.0,1
31d48f8d-e60f-43a4-bc51-ae43b1a887d6,2023-11-05,11,7,19.5,1,Domicilio,1,AVIACION,0,50,43.0,0
2f58abcb-7947-4f2b-a461-b07c6283c2ec,2023-11-05,11,7,19.67,1,Domicilio,3,LA LOMITA,1,50,50.0,0
143ad7b1-7728-4a2a-b08d-7eeec680c09b,2023-11-05,11,7,19.75,1,Mostrador,2,LOCAL,2,30,40.0,1
9dacb1f8-4f7a-4379-b97f-6c5f209fb04f,2023-11-05,11,7,22.92,1,Mostrador,6,LOCAL,0,30,41.0,1
79a51cce-b3d9-4d26-96f7-65a764f78772,2023-11-05,11,7,23.33,1,Domicilio,6,ROJO GOMEZ,1,50,67.0,1
7ea06514-5b65-4615-ad52-82342efa08d8,2023-11-06,11,1,17.42,0,Recoger,1,LOCAL,0,30,16.0,0
fdd9bbab-a972-4512-911a-07d595a77b0b,2023-11-07,11,2,19.5,0,Recoger en tienda,7,LOCAL,0,30,46.0,1
a2c21576-324e-4dff-804d-0c74da764138,2023-11-08,11,3,17.75,0,Recoger,4,LOCAL,0,30,29.0,0
e897d74a-ecac-4c09-a8b2-beb16d501346,2023-11-08,11,3,21.58,0,Recoger,3,LOCAL,0,30,36.0,1
98ed37ec-74e2-441c-870b-3bf87d82dbd0,2023-11-08,11,3,22.83,0,Recoger en tienda,2,LOCAL,0,30,24.0,0
ae8c210f-a1a8-459d-ab83-0babc475fb34,2023-11-09,11,4,19.0,0,Recoger,9,LOCAL,0,30,58.0,1
5fd0185e-2a4f-4f8b-b1cb-e3367312ca07,2023-11-09,11,4,19.83,0,Recoger,2,LOCAL,0,30,25.0,0
ac516b33-28d0-4415-b90c-a4092301e6c3,2023-11-09,11,4,22.25,0,Mostrador,7,LOCAL,0,30,31.0,1
8a7c1fc6-f5d4-4c76-952d-364769d93034,2023-11-10,11,5,19.17,0,Recoger en tienda,3,LOCAL,0,30,29.0,0
c07e181e-e3fd-4cff-9f54-4ae585bd992f,2023-11-10,11,5,21.08,0,Domicilio,5,AVIACIÓN CIVIL,0,50,58.0,1
8311ab12-d29a-4671-aa50-ed59f8935d1c,2023-11-11,11,6,14.42,1,Domicilio,2,AVIACION,0,50,39.0,0
839eb700-324d-439c-9559-b737600aadff,2023-11-11,11,6,14.5,1,Recoger,2,LOCAL,1,30,27.0,0
1bb9db3d-659d-425c-bc86-ae675882eb3a,2023-11-11,11,6,18.75,1,Recoger,4,LOCAL,0,30,36.0,1
a42de407-784e-4d3f-a728-7a28749a6e0c,2023-11-11,11,6,20.67,1,Recoger en tienda,4,LOCAL,0,30,42.0,1
7e65024d-505a-4d20-999a-197afd74c13a,2023-11-11,11,6,23.33,1,Domicilio,3,TODOS POR HIDALGO,0,50,48.0,0
a4693dd9-ef35-4420-b9be-38b297a553d8,2023-11-11,11,6,23.58,1,Domicilio,1,SANTA IRENE,1,50,43.0,0
8344176a-f535-47b1-b633-84b68183a16e,2023-11-12,11,7,14.25,1,Domicilio,5,CHACATITLA,0,50,59.0,1
3091b69d-501f-4097-95b2-f42eb80f7042,2023-11-12,11,7,18.17,1,Mostrador,5,LOCAL,0,30,52.0,1
51e9d1d1-ea6c-42be-8389-94e7814abb36,2023-11-12,11,7,18.67,1,Domicilio,5,CENTRO,1,50,48.0,0
9c40696b-a571-4d81-bf29-0c1a3e8239b5,2023-11-12,11,7,20.42,1,Mostrador,3,LOCAL,0,30,43.0,1
91259b80-900b-4c96-8926-917ed32dda7d,2023-11-13,11,1,21.83,0,Domicilio,8,CHACATITLA,0,50,67.0,1
d6c69022-3888-4d98-95eb-8dfb994a0527,2023-11-13,11,1,22.0,0,Mostrador,1,LOCAL,1,30,25.0,0
ef48a086-23ee-48c1-89d8-eba7fa543ea5,2023-11-14,11,2,20.0,0,Mostrador,5,LOCAL,0,30,45.0,1
eb4603cc-f282-4f3d-933a-fcac6ec05a28,2023-11-15,11,3,16.58,0,Recoger,3,LOCAL,0,30,30.0,0
a7f3494c-3a1d-4e3c-a280-68597d876c7f,2023-11-16,11,4,19.75,0,Domicilio,5,COLALAMBRE,0,50,60.0,1
93ac87b1-d90f-451c-bc1b-68e1a48a0822,2023-11-17,11,5,18.83,0,Recoger en tienda,3,LOCAL,0,30,33.0,1
3c8c3ece-2120-4d1e-ac74-a22696c57a42,2023-11-17,11,5,19.17,0,Mostrador,4,LOCAL,1,30,36.0,1
4a116f78-f4b0-4b5b-a4b9-2a60ba5b6a96,2023-11-17,11,5,21.25,0,Domicilio,3,TODOS POR HIDALGO,0,50,43.0,0
fbdb8cca-4c5e-4fa6-b1f4-54787a358f72,2023-11-18,11,6,15.17,1,Mostrador,2,LOCAL,0,30,25.0,0
53799779-d5f3-45ba-b357-ce644b92c50c,2023-11-18,11,6,20.33,1,Recoger,3,LOCAL,0,30,36.0,1
3cbfe77b-46a8-4882-ba10-4cafa469a026,2023-11-18,11,6,21.17,1,Domicilio,2,CENTRO,0,50,40.0,0
8bb1fa0d-8934-41c8-82ae-71035cd4b5a7,2023-11-18,11,6,21.33,1,Mostrador,7,LOCAL,1,30,58.0,1
b6a54e4e-fae6-410e-b639-3fb0551cb36c,2023-11-18,11,6,21.5,1,Recoger en tienda,5,LOCAL,2,30,50.0,1
baac97b8-8d52-461e-82d1-66fa644bb8df,2023-11-18,11,6,21.5,1,Domicilio,1,TRES CRUCES,3,50,57.0,1
f7e3b292-8a09-401f-b43d-894fff42ec29,2023-11-19,11,7,16.67,1,Mostrador,6,LOCAL,0,30,38.0,1
b43d6aa0-e239-45b6-bf26-b9251950858a,2023-11-19,11,7,18.08,1,Mostrador,3,LOCAL,0,30,40.0,1
736663aa-3d24-4c38-8954-70b023158236,2023-11-19,11,7,19.58,1,Domicilio,2,LOS CANTORES,0,50,49.0,0
ef435789-dc06-4e1f-a132-621b1cfcd9ec,2023-11-19,11,7,19.92,1,Domicilio,2,LA LOMITA,1,50,43.0,0
7952ddc6-6bde-4805-810e-57985fcfb9e2,2023-11-19,11,7,22.5,1,Domicilio,1,TRES CRUCES,0,50,35.0,0
4305464e-817e-4c7a-b6da-ef4509d6d984,2023-11-19,11,7,22.75,1,Domicilio,1,TRES CRUCES,1,50,40.0,0
6ec13ec5-0263-4809-8854-17ce447a6f07,2023-11-20,11,1,20.58,0,Domicilio,5,TODOS POR HIDALGO,0,50,59.0,1
58915ba8-d45e-4890-8eb5-701ec79072a2,2023-11-20,11,1,21.17,0,Domicilio,3,COLALAMBRE,0,50,49.0,0
1b971f8c-fb16-4c35-bf91-9b0a6b0eacf5,2023-11-20,11,1,23.42,0,Domicilio,4,TRES CRUCES,0,50,50.0,0
9f60df7b-7baa-4f66-87a5-6098175b2135,2023-11-20,11,1,23.5,0,Domicilio,2,LOS CANTORES,1,50,46.0,0
632e0434-7b0a-4432-b088-656a0330ef26,2023-11-21,11,2,14.75,0,Recoger,3,LOCAL,0,30,22.0,0
b6667e34-985e-4b0c-bfa4-2f24204567d5,2023-11-21,11,2,18.0,0,Recoger en tienda,1,LOCAL,0,30,31.0,1
d700ba30-0095-4530-93c3-703d0e42c63d,2023-11-21,11,2,18.83,0,Domicilio,5,COLALAMBRE,0,50,55.0,1
5d006800-a7f6-4133-b367-9fd9cb605bb5,2023-11-21,11,2,18.92,0,Recoger,1,LOCAL,1,30,23.0,0
